#iR    R_COM(iR)
  1  0.500000000000E+01
  2  0.567796610169E+01
  3  0.635593220339E+01
  4  0.703389830508E+01
  5  0.771186440678E+01
  6  0.838983050847E+01
  7  0.906779661017E+01
  8  0.974576271186E+01
  9  0.104237288136E+02
 10  0.111016949153E+02
 11  0.117796610169E+02
 12  0.124576271186E+02
 13  0.131355932203E+02
 14  0.138135593220E+02
 15  0.144915254237E+02
 16  0.151694915254E+02
 17  0.158474576271E+02
 18  0.165254237288E+02
 19  0.172033898305E+02
 20  0.178813559322E+02
 21  0.185593220339E+02
 22  0.192372881356E+02
 23  0.199152542373E+02
 24  0.205932203390E+02
 25  0.212711864407E+02
 26  0.219491525424E+02
 27  0.226271186441E+02
 28  0.233050847458E+02
 29  0.239830508475E+02
 30  0.246610169492E+02
 31  0.253389830508E+02
 32  0.260169491525E+02
 33  0.266949152542E+02
 34  0.273728813559E+02
 35  0.280508474576E+02
 36  0.287288135593E+02
 37  0.294067796610E+02
 38  0.300847457627E+02
 39  0.307627118644E+02
 40  0.314406779661E+02
 41  0.321186440678E+02
 42  0.327966101695E+02
 43  0.334745762712E+02
 44  0.341525423729E+02
 45  0.348305084746E+02
 46  0.355084745763E+02
 47  0.361864406780E+02
 48  0.368644067797E+02
 49  0.375423728814E+02
 50  0.382203389831E+02
 51  0.388983050847E+02
 52  0.395762711864E+02
 53  0.402542372881E+02
 54  0.409322033898E+02
 55  0.416101694915E+02
 56  0.422881355932E+02
 57  0.429661016949E+02
 58  0.436440677966E+02
 59  0.443220338983E+02
 60  0.450000000000E+02
